method,fairness_family_targeted,accuracy,selection_rate,DP_difference,EO_difference,old_TPR,young_TPR,TPR_gap_abs,old_FPR,young_FPR,FPR_gap_abs,old_PPV,young_PPV,notes
EG-DP eps=0.01,Independence,0.7533333333333333,0.7866666666666666,0.024556387183584216,0.14492753623188404,0.8913043478260869,0.8461538461538461,0.04515050167224077,0.5217391304347826,0.6666666666666666,0.14492753623188404,0.82,0.6111111111111112,Epsilon sweep point for frontier plot.
EG-DP eps=0.02,Independence,0.7666666666666667,0.7866666666666666,0.000672777731057117,0.1739130434782608,0.8967391304347826,0.8846153846153846,0.012123745819398013,0.4927536231884058,0.6666666666666666,0.1739130434782608,0.8291457286432161,0.6216216216216216,Epsilon sweep point for frontier plot.
EG-DP eps=0.05,Independence,0.7533333333333333,0.7866666666666666,0.024556387183584216,0.14492753623188404,0.8913043478260869,0.8461538461538461,0.04515050167224077,0.5217391304347826,0.6666666666666666,0.14492753623188404,0.82,0.6111111111111112,Epsilon sweep point for frontier plot.
EG-DP eps=0.1,Independence,0.7666666666666667,0.7866666666666666,0.000672777731057117,0.1739130434782608,0.8967391304347826,0.8846153846153846,0.012123745819398013,0.4927536231884058,0.6666666666666666,0.1739130434782608,0.8291457286432161,0.6216216216216216,Epsilon sweep point for frontier plot.
EG-DP eps=0.2,Independence,0.77,0.79,0.0032797914389033345,0.1739130434782608,0.9021739130434783,0.8846153846153846,0.01755852842809369,0.4927536231884058,0.6666666666666666,0.1739130434782608,0.83,0.6216216216216216,Epsilon sweep point for frontier plot.
EG-EO eps=0.01,Separation,0.75,0.79,0.028508956353544668,0.1925465838509317,0.8967391304347826,0.8076923076923077,0.08904682274247488,0.5217391304347826,0.7142857142857143,0.1925465838509317,0.8208955223880597,0.5833333333333334,Epsilon sweep point for frontier plot.
EG-EO eps=0.02,Separation,0.75,0.79,0.0032797914389033345,0.1925465838509317,0.8913043478260869,0.8461538461538461,0.04515050167224077,0.5217391304347826,0.7142857142857143,0.1925465838509317,0.82,0.5945945945945946,Epsilon sweep point for frontier plot.
EG-EO eps=0.05,Separation,0.75,0.79,0.028508956353544668,0.1925465838509317,0.8967391304347826,0.8076923076923077,0.08904682274247488,0.5217391304347826,0.7142857142857143,0.1925465838509317,0.8208955223880597,0.5833333333333334,Epsilon sweep point for frontier plot.
EG-EO eps=0.1,Separation,0.75,0.79,0.028508956353544668,0.1925465838509317,0.8967391304347826,0.8076923076923077,0.08904682274247488,0.5217391304347826,0.7142857142857143,0.1925465838509317,0.8208955223880597,0.5833333333333334,Epsilon sweep point for frontier plot.
EG-EO eps=0.2,Separation,0.7533333333333333,0.7933333333333333,0.007232360608863786,0.1925465838509317,0.8967391304347826,0.8461538461538461,0.05058528428093645,0.5217391304347826,0.7142857142857143,0.1925465838509317,0.8208955223880597,0.5945945945945946,Epsilon sweep point for frontier plot.
